symbol,description,sector,value,profit_loss,percent_change
BRK B,BERKSHIRE HATHAWAY INC-CL B,Consumer Non-Cyc,114.15166579612041,2.9600227036342255,2.5930613302839998
BROS,DUTCH BROS INC-CLASS A,Consumer Cyclicals,68.0463687372419,5.320497706539505,7.818929658222286
BTI,BRITISH AMERICAN TOB-SP ADR,Consumer Non-Cyc,50.38196732896685,-8.330226806311655,-16.534143559579174
BWB,BRIDGEWATER BANCSHARES INC,Financials,65.65613128806557,-9.605497111878343,-14.6300077744976
BX,BLACKSTONE INC,Financials,19.208026513361695,2.2652026896962765,11.793000640229916
BXP,BOSTON PROPERTIES INC,Real Estate,25.315134029747913,1.3061642258380604,5.159618054177322
C,CITIGROUP INC,Financials,44.74963291026025,-3.7164942856988255,-8.305083291189867
CAH,CARDINAL HEALTH INC,Healthcare,26.56246849001485,17.07223444184013,64.27201767131615
CALM,CAL-MAINE FOODS INC,Consumer Non-Cyc,6.631511303305923,-0.21707232341809246,-3.273346202544783
CAT,CATERPILLAR INC,Industrials,54.2755166483792,18.265456364515366,33.65321510036849
CL,COLGATE-PALMOLIVE CO,Consumer Non-Cyc,10.464997522957024,-0.1963891989305829,-1.8766291965169097
CLX,CLOROX COMPANY,Consumer Non-Cyc,26.64338264592789,1.5608780188578721,5.858407844082189
CMA,COMERICA INC,Financials,23.736361653220825,2.6096387920695325,10.994266224096844
CMCSA,COMCAST CORP-CLASS A,Telecomm,4.613418681109093,0.5621801524484695,12.18576052397911
CMI,CUMMINS INC,Consumer Cyclicals,33.060238740590115,-1.0431034032100854,-3.1551599230570657
CMTG,CLAROS MORTGAGE TRUST INC,Real Estate,41.02917433609316,-11.682427758580603,-28.47346540021311
CNHI,CNH INDUSTRIAL NV,Industrials,19.531399580269234,-1.2929196481847383,-6.619697901684709
COIN,COINBASE GLOBAL INC -CLASS A,Technology,57.61309653394334,17.584500348303905,30.52170670594631
COST,COSTCO WHOLESALE CORP,Consumer Cyclicals,66.01848652491097,9.316759262484094,14.112349059938797
CSCO,CISCO SYSTEMS INC,Technology,14.12414589828222,0.5629922809888416,3.9860270847054387
CTRA,COTERRA ENERGY INC,Energy,37.25185437569858,0.808067897670204,2.1692018054203253
CVX,CHEVRON CORP,Energy,22.842984470096216,-0.9292787705652604,-4.068114531101576
D,DOMINION ENERGY INC,Utilities,24.14871097241591,-4.4098579742203095,-18.26125617743121
DAL,DELTA AIR LINES INC.,Industrials,61.3991461879024,10.247108941531405,16.68933458809304
DEO,DIAGEO PLC-SPONSORED ADR,Consumer Non-Cyc,47.23359962841889,-2.5390001269257807,-5.375411035575931
DHR,DANAHER CORP,Healthcare,40.86150971068883,1.300349936084617,3.1823345375427055
DIS,WALT DISNEY CO/THE,Telecomm,44.81914560735989,-5.272615158394789,-11.764202746267783
DLR,DIGITAL REALTY TRUST INC.,Real Estate,25.925455510282777,7.564523112178792,29.177975712629177
DMTK,DERMTECH INC,Healthcare,77.78736467836964,-43.89820423097943,-56.43359228389726
DOW,DOW INC,Basic Materials,7.49791755995587,-0.1337011345481684,-1.7831769085089184
DVN,DEVON ENERGY CORP,Energy,72.91342479693256,-15.362417554634229,-21.069395104425983
ED,CONSOLIDATED EDISON INC,Utilities,14.597110289348192,-0.11644546779883926,-0.7977295881898754
EFC,ELLINGTON FINANCIAL INC,Real Estate,84.63933584464935,-8.90490823232565,-10.521004381071819
EMN,EASTMAN CHEMICAL CO,Basic Materials,22.81406718810277,-0.22588185334755215,-0.9900990099009901
ENR,ENERGIZER HOLDINGS INC,Industrials,31.92281830757275,-2.135595233587204,-6.689870590406477
EOG,EOG RESOURCES INC,Energy,43.01751552393135,3.2049868247024174,7.450422893250147
EPD,ENTERPRISE PRODUCTS PARTNERS,Energy,24.912238437358386,0.3325707667495148,1.334969427118166
EPR,EPR PROPERTIES,Real Estate,39.29163495939049,-0.07546188278013104,-0.192055848167489
ESS,ESSEX PROPERTY TRUST INC,Real Estate,32.6117717251733,-7.036605148710663,-21.576887045603378
ET,ENERGY TRANSFER LP,Energy,37.17950473466384,2.5872639625377563,6.958844613455955
ETD,ETHAN ALLEN INTERIORS INC,Consumer Cyclicals,14.914644289699357,3.1586569562077687,21.178225205070845
FANG,DIAMONDBACK ENERGY INC,Energy,20.725905767229495,-0.43645714844266803,-2.1058531933150384
FCX,FREEPORT-MCMORAN INC,Basic Materials,81.6862754226375,2.238262045980748,2.7400711250454006
FIS,FIDELITY NATIONAL INFO SERV,Technology,31.09163915872823,-0.32710885819324975,-1.052079810019993
FRT,FEDERAL REALTY INVS TRUST,Real Estate,29.512365740186404,-3.8270800396055225,-12.967716899747767
GLAD,GLADSTONE CAPITAL CORP,Financials,48.98976840794426,-0.9778302923889951,-1.9959888037160602
GPC,GENUINE PARTS CO,Consumer Cyclicals,7.218754568403705,1.3017126602455802,18.032371760402295
GROW,U.S. GLOBAL INVESTORS INC-A,Financials,16.00821804047094,0.2894123290294712,1.8078984700095773
GS,GOLDMAN SACHS GROUP INC,Financials,4.493856842097708,0.07608680880950208,1.6931293426335579
GSK,GSK PLC-SPON ADR,Healthcare,64.24898920190012,-10.854978895065585,-16.89517458547746
HAL,HALLIBURTON CO,Energy,40.029861179077756,8.353728980376593,20.86874331890714
HD,HOME DEPOT INC,Consumer Cyclicals,32.342589655733406,4.2307244420390555,13.080969975108566
HE,HAWAIIAN ELECTRIC INDS,Utilities,87.37885050819298,-36.47628538453377,-41.74498196347137
HLN,HALEON PLC-ADR,Healthcare,24.188121230448775,6.452525055453177,26.67642101665397
HON,HONEYWELL INTERNATIONAL INC,Consumer Non-Cyc,55.854008221139786,-1.5652800308444992,-2.8024488853998974
HRZN,HORIZON TECHNOLOGY FINANCE C,Financials,85.6834358259327,0.27830543887309467,0.3248065815643489
HSBC,HSBC HOLDINGS PLC-SPONS ADR,Financials,29.186991258198017,2.7062600645489843,9.272144705182148
IBM,INTL BUSINESS MACHINES CORP,Technology,74.58378737845594,5.486580746023695,7.356264597000786
IEP,ICAHN ENTERPRISES LP,Energy,115.75455150785129,-39.48329316545115,-34.10949517848818
INTC,INTEL CORP,Technology,20.70366170415761,-1.5566989980975847,-7.518954957542491
IRM,IRON MOUNTAIN INC,Real Estate,27.61586252537379,2.7770157312621118,10.055871797270703
JCI,JOHNSON CONTROLS INTERNATION,Industrials,32.112084175661934,2.066138972538672,6.434147846761746
JD,JD.COM INC-ADR,Consumer Cyclicals,108.25860370372808,-1.3054044038816446,-1.2058204698946164
JNJ,JOHNSON & JOHNSON,Healthcare,38.9974572252648,-0.9100051708664644,-2.3334987345711107
JPM,JPMORGAN CHASE & CO,Financials,21.800850115178374,3.1136017165747885,14.282019738335846
KEY,KEYCORP,Financials,59.1882556267103,-3.5368032754517222,-5.975515307897745
KMB,KIMBERLY-CLARK CORP,Consumer Non-Cyc,32.92632975619517,-2.285683470293219,-6.9418106640420865
KMI,KINDER MORGAN INC,Energy,23.574522329482345,-2.0737633453948088,-8.796629328948718
KMT,KENNAMETAL INC,Industrials,38.251168909203045,-2.4762184612878655,-6.473575924348025
KO,COCA-COLA CO/THE,Consumer Non-Cyc,29.816498243132383,-1.5158833447431568,-5.084042171492453
KRNT,KORNIT DIGITAL LTD,Industrials,94.19830900307679,-23.887248253576697,-25.35846822133131
LMT,LOCKHEED MARTIN CORP,Industrials,43.63339802023418,-0.8934129718399476,-2.0475438823848737
