symbol,description,sector,value,profit_loss,percent_change
HSBC,HSBC HOLDINGS PLC-SPONS ADR,Financials,21.20394,0.55606,2.622437150831402
IBM,INTL BUSINESS MACHINES CORP,Technology,83.082194,5.607806,6.749708607839605
IEP,ICAHN ENTERPRISES LP,Energy,86.093914,-46.313914,-53.79464337049422
INTC,INTEL CORP,Technology,65.545648,3.064352,4.675141818721511
IRM,IRON MOUNTAIN INC,Real Estate,20.062539,2.007461,10.006016686123328
JCI,JOHNSON CONTROLS INTERNATION,Industrials,38.819348,-2.979348,-7.674904792321602
JD,JD.COM INC-ADR,Consumer Cyclicals,115.536566,-27.896566,-24.145226888602526
JNJ,JOHNSON & JOHNSON,Healthcare,50.110745,-6.990745,-13.950590836356556
JPM,JPMORGAN CHASE & CO,Financials,57.464153,0.885847,1.541564529803476
KEY,KEYCORP,Financials,42.999437,-4.429437,-10.301151152281365
KMB,KIMBERLY-CLARK CORP,Consumer Non-Cyc,23.920519,-2.890519,-12.083847344616562
KMI,KINDER MORGAN INC,Energy,17.12656,-2.40656,-14.051625078241045
KMT,KENNAMETAL INC,Industrials,38.204058,-6.254058,-16.37014057511901
KO,COCA-COLA CO/THE,Consumer Non-Cyc,78.729297,-3.099297,-3.9366501646775784
KRNT,KORNIT DIGITAL LTD,Industrials,68.433749,-37.053749,-54.14543195638748
LIN,LINDE PLC,Basic Materials,49.694525,0.625475,1.25863965899664
LLY,ELI LILLY & CO,Healthcare,59.28195,-3.83195,-6.463940541766928
LMT,LOCKHEED MARTIN CORP,Industrials,31.699052,-0.029052,-0.0916494285065686
LNC,LINCOLN NATIONAL CORP,Financials,33.983083,-5.683083,-16.72327081095026
LOW,LOWE'S COS INC,Consumer Cyclicals,61.936028,-4.546028,-7.339876557792824
LTC,LTC PROPERTIES INC,Real Estate,33.648655,-3.198655,-9.506041177574557
LUMN,LUMEN TECHNOLOGIES INC,Technology,34.919296,-31.389296,-89.8909760380049
LYB,LYONDELLBASELL INDU-CL A,Basic Materials,50.051054,-3.311054,-6.615353195159486
MAIN,MAIN STREET CAPITAL CORP,Financials,6.926176,0.143824,2.0765282314512366
MCD,MC DONALD'S-CORP,Consumer Cyclicals,31.562096,-0.122096,-0.3868437634813607
MELI,MERCADOLIBRE INC,Technology,117.928873,22.471127,19.05481365873818
META,META PLATFORMS INC-CLASS A,Technology,66.076017,2.533983,3.834951189627547
MMC,MARSH & MCLENNAN COS,Financials,59.01531,-1.99531,-3.3810040140431354
MMM,3M CO,Consumer Non-Cyc,50.647662,-16.237662,-32.06004257412712
MO,ALTRIA GROUP INC,Consumer Non-Cyc,55.688592,-9.008592,-16.17672790147038
MORF,MORPHIC HOLDING INC,Healthcare,108.839622,-35.459622,-32.57969969796478
MOS,MOSAIC CO/THE,Basic Materials,54.011465,-17.521465,-32.440269857520065
MP,MP MATERIALS CORP,Basic Materials,109.392355,-24.232355,-22.15178108195952
MPLX,MPLX LP,Energy,21.017999,3.502001,16.661914390613493
MPW,MEDICAL PROPERTIES TRUST INC,Real Estate,38.678557,-26.558557,-68.66480825538555
MRK,MERCK & CO INC,Healthcare,60.55127,1.15873,1.913634511712141
MSFT,MICROSOFT CORP,Technology,79.800341,13.289659,16.65363685601293
NEE,NEXTERA ENERGY INC,Utilities,82.531848,-3.071848,-3.7220152879649566
NFLX,NETFLIX INC,Consumer Cyclicals,54.54596,0.07404,0.1357387421543227
NHI,NATL HEALTH INVESTORS INC,Real Estate,11.876994,-1.826994,-15.382629645177898
NSA,NATIONAL STORAGE AFFILIATES,Real Estate,24.778189,-7.628189,-30.78590206895266
NVDA,NVIDIA CORP,Technology,89.319451,-4.669451,-5.227809785799063
NWL,NEWELL BRANDS INC,Consumer Cyclicals,33.591499,-10.421499,-31.024215382588316
NWN,NORTHWEST NATURAL HOLDING CO,Utilities,59.0627,-5.3027,-8.978086000132063
NXPI,NXP SEMICONDUCTORS NV,Technology,79.98796,-10.97796,-13.724515539588708
NYCB,NEW YORK COMMUNITY BANCORP,Financials,32.64516,-1.32516,-4.059284745426274
O,REALTY INCOME CORP,Real Estate,24.80156,-5.60156,-22.585514782134673
OKE,ONEOK INC,Energy,20.264539,-0.904539,-4.463654465566673
OMF,ONEMAIN HOLDINGS INC,Financials,77.606695,-5.996695,-7.727033086513992
OOMA,OOMA INC,Technology,61.412699,-12.702699,-20.684156871203463
ORCL,ORACLE CORP,Technology,79.505179,-5.475179,-6.886568986908387
PAC,GRUPO AEROPORTUARIO PAC-ADR,Industrials,25.270301,-9.700301,-38.386171181736216
PBA,PEMBINA PIPELINE CORP,Energy,10.87164,-1.59164,-14.640293460784207
PEP,PEPSICO INC,Consumer Non-Cyc,38.102451,-1.832451,-4.809273293206256
PFE,PFIZER INC,Healthcare,51.877307,-9.167307,-17.671131232775824
PG,PROCTER & GAMBLE CO/THE,Consumer Non-Cyc,62.170288,-1.130288,-1.8180517355814725
PPL,PPL CORPORATION,Utilities,18.98093,-1.69093,-8.908572972978668
PSEC,PROSPECT CAPITAL CORP,Financials,40.816777,-12.766777,-31.27825844750064
PSX,PHILLIPS 66,Energy,28.382734,7.607266,26.802442639951458
PXD,PIONEER NATURAL RESOURCES CO,Energy,62.215153,-0.845153,-1.3584359424463683
PYPL,PAYPAL HOLDINGS INC,Industrials,80.248277,-15.668277,-19.524751914611198
RBLX,ROBLOX CORP -CLASS A,Technology,31.08578,0.75422,2.4262540621467434
RC,READY CAPITAL CORP,Real Estate,44.502912,-4.522912,-10.163182130643495
RIO,RIO TINTO PLC-SPON ADR,Basic Materials,47.574404,3.835596,8.06231014475767
ROKU,ROKU INC,Consumer Cyclicals,47.61645,-5.82645,-12.236212485391079
SBUX,STARBUCKS CORP,Consumer Cyclicals,34.200913,4.169087,12.189987442732889
SCCO,SOUTHERN COPPER CORP,Basic Materials,62.24024,-4.71024,-7.5678371420161605
SCHW,SCHWAB (CHARLES) CORP,Financials,93.937271,-9.957271,-10.599915128469082
SHW,SHERWIN-WILLIAMS CO/THE,Basic Materials,32.093356,-3.423356,-10.666868245253006
SLB,SCHLUMBERGER LTD,Energy,46.806652,14.643348,31.284758414252746
SLG,SL GREEN REALTY CORP,Real Estate,24.13496,-0.67496,-2.7966070795228166
SMR,NUSCALE POWER CORP,Utilities,119.165032,-44.525032,-37.36417575921098
SNPS,SYNOPSYS INC,Technology,54.365775,16.944225,31.167080759908234
SWK,STANLEY BLACK & DECKER INC,Industrials,45.491612,-5.551612,-12.203594807763682
T,AT&T INC,Technology,52.552135,-4.412135,-8.39572930766752
TAK,TAKEDA PHARMACEUTIC-SP ADR,Healthcare,24.23394,-1.02394,-4.225231225298074
TAP,MOLSON COORS BEVERAGE CO - B,Consumer Non-Cyc,17.96689,0.65311,3.6350754081535532
TD,TORONTO-DOMINION BANK,Financials,18.25575,-1.48575,-8.138531695493201
TEAM,ATLASSIAN CORP-CL A,Technology,90.502292,-10.472292,-11.571300315797526
TPR,TAPESTRY INC,Consumer Cyclicals,19.94354,-3.45354,-17.31658471866078
TRV,TRAVELERS COS INC/THE,Financials,17.178585,-0.248585,-1.4470633058543527
TSLA,TESLA INC,Consumer Cyclicals,106.750031,-3.920031,-3.6721591209655005
TSM,TAIWAN SEMICONDUCTOR-SP ADR,Technology,59.044196,-1.094196,-1.8531813016812015
TSN,TYSON FOODS INC-CL A,Consumer Non-Cyc,52.782601,-9.562601,-18.116956760050535
UPS,UNITED PARCEL SERVICE-CL B,Industrials,56.698571,-9.168571,-16.170726771932223
URI,UNITED RENTALS INC,Industrials,23.257977,1.312023,5.64117420874567
V,VISA INC-CLASS A SHARES,Technology,66.65596,-2.23596,-3.3544787292839233
VALE,VALE SA-SP ADR,Basic Materials,20.33837,-0.46837,-2.3028885795666025
VFC,VF CORP,Consumer Cyclicals,43.200055,-20.930055,-48.44913970595639
VLO,VALERO ENERGY CORP,Energy,49.579688,5.340312,10.771169031963252
VNO,VORNADO REALTY TRUST,Real Estate,29.938716,-13.238716,-44.21938469238293
VTRS,VIATRIS INC,Healthcare,22.007213,-5.057213,-22.979797578184936
VZ,VERIZON COMMUNICATIONS INC,Technology,72.303849,-3.623849,-5.011972460829852
WBA,WALGREENS BOOTS ALLIANCE INC,Consumer Non-Cyc,36.518378,-9.698378,-26.557526733525787
WMB,WILLIAMS COS INC,Energy,23.056078,-0.136078,-0.5902044571500843
WMT,WALMART INC,Consumer Non-Cyc,31.113049,5.986951,19.2425724653344
XOM,EXXON MOBIL CORP,Energy,31.004979,4.915021,15.852360357992826
